entity1,entity2,relationship_type,question1,question2,question3,biomistral-7b_q1,biomistral-7b_q2,biomistral-7b_q3,gemma-3-4b_q1,gemma-3-4b_q2,gemma-3-4b_q3,gemma-4-e4b_q1,gemma-4-e4b_q2,gemma-4-e4b_q3,ii-medical-8b_q1,ii-medical-8b_q2,ii-medical-8b_q3,llama-3.1-8b_q1,llama-3.1-8b_q2,llama-3.1-8b_q3,medgemma-4b_q1,medgemma-4b_q2,medgemma-4b_q3,meditron-7b_q1,meditron-7b_q2,meditron-7b_q3,meerkat-7b_q1,meerkat-7b_q2,meerkat-7b_q3,mistral-7b_q1,mistral-7b_q2,mistral-7b_q3,qwen3-8b_q1,qwen3-8b_q2,qwen3-8b_q3,ultramed-3.1-8b_q1,ultramed-3.1-8b_q2,ultramed-3.1-8b_q3
strep,throat symptoms,disease-symptom,Is strep a disease?,Is throat symptoms a symptom?,Is throat symptoms a symptom of strep?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
strep,fatigue,disease-symptom,Is strep a disease?,Is fatigue a symptom?,Is fatigue a symptom of strep?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
chronic tonsillitis,pain,disease-symptom,Is chronic tonsillitis a disease?,Is pain a symptom?,Is pain a symptom of chronic tonsillitis?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
abcess,pain,disease-symptom,Is abcess a disease?,Is pain a symptom?,Is pain a symptom of abcess?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
fatigue,strep,symptom-disease,Is fatigue a symptom?,Is strep a disease?,Is fatigue a symptom of strep?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
viral infection,lymphocytes,disease-symptom,Is viral infection a disease?,Is lymphocytes a symptom?,Is lymphocytes a symptom of viral infection?,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes
pancreatitis,abdominal pain,disease-symptom,Is pancreatitis a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of pancreatitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
diabetes,frequent urination,disease-symptom,Is diabetes a disease?,Is frequent urination a symptom?,Is frequent urination a symptom of diabetes?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
diabetes,excessive thirst,disease-symptom,Is diabetes a disease?,Is excessive thirst a symptom?,Is excessive thirst a symptom of diabetes?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
hypothyroidism,fatigue,disease-symptom,Is hypothyroidism a disease?,Is fatigue a symptom?,Is fatigue a symptom of hypothyroidism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
hypothyroidism,dry skin,disease-symptom,Is hypothyroidism a disease?,Is dry skin a symptom?,Is dry skin a symptom of hypothyroidism?,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
hypothyroidism,thinning hair,disease-symptom,Is hypothyroidism a disease?,Is thinning hair a symptom?,Is thinning hair a symptom of hypothyroidism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
hypothyroidism,weight gain,disease-symptom,Is hypothyroidism a disease?,Is weight gain a symptom?,Is weight gain a symptom of hypothyroidism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
AMVASC,hypertensive,drug-disease,Is AMVASC a drug?,Is hypertensive a disease?,Is AMVASC used to treat hypertensive?,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,,yes,yes,no,yes,yes,yes,no,yes,no,yes,no
hypertensive,headaches,disease-symptom,Is hypertensive a disease?,Is headaches a symptom?,Is headaches a symptom of hypertensive?,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,no,yes,yes,yes,yes,yes
hypertensive,palpitations,disease-symptom,Is hypertensive a disease?,Is palpitations a symptom?,Is palpitations a symptom of hypertensive?,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes
hypertensive,vomiting,disease-symptom,Is hypertensive a disease?,Is vomiting a symptom?,Is vomiting a symptom of hypertensive?,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,,yes,yes,no,no,yes,no,yes,yes,no
palpitations,hypertensive,symptom-disease,Is palpitations a symptom?,Is hypertensive a disease?,Is palpitations a symptom of hypertensive?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes
headaches,hypertensive,symptom-disease,Is headaches a symptom?,Is hypertensive a disease?,Is headaches a symptom of hypertensive?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,yes,yes,yes
vomiting,hypertensive,symptom-disease,Is vomiting a symptom?,Is hypertensive a disease?,Is vomiting a symptom of hypertensive?,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,,yes,yes,no,yes,no,no,yes,yes,no
insulin,diabetic,drug-disease,Is insulin a drug?,Is diabetic a disease?,Is insulin used to treat diabetic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
Plavix,peripheral artery disease,drug-disease,Is Plavix a drug?,Is peripheral artery disease a disease?,Is Plavix used to treat peripheral artery disease?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
atenolol,high blood pressure,drug-disease,Is atenolol a drug?,Is high blood pressure a disease?,Is atenolol used to treat high blood pressure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes
peripheral artery disease,leg pain,disease-symptom,Is peripheral artery disease a disease?,Is leg pain a symptom?,Is leg pain a symptom of peripheral artery disease?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
insulin,type 1 diabetes,drug-disease,Is insulin a drug?,Is type 1 diabetes a disease?,Is insulin used to treat type 1 diabetes?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
rash,contact dermatitis,symptom-disease,Is rash a symptom?,Is contact dermatitis a disease?,Is rash a symptom of contact dermatitis?,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
advair,asthma,drug-disease,Is advair a drug?,Is asthma a disease?,Is advair used to treat asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
stomach cancer,heartburn,disease-symptom,Is stomach cancer a disease?,Is heartburn a symptom?,Is heartburn a symptom of stomach cancer?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
heartburn,stomach cancer,symptom-disease,Is heartburn a symptom?,Is stomach cancer a disease?,Is heartburn a symptom of stomach cancer?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
antacids,heartburn,drug-disease,Is antacids a drug?,Is heartburn a disease?,Is antacids used to treat heartburn?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes
adenomyosis,pain,disease-symptom,Is adenomyosis a disease?,Is pain a symptom?,Is pain a symptom of adenomyosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
endometriosis,pain,disease-symptom,Is endometriosis a disease?,Is pain a symptom?,Is pain a symptom of endometriosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
anxiety,insomnia,disease-symptom,Is anxiety a disease?,Is insomnia a symptom?,Is insomnia a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
pain,adenomyosis,symptom-disease,Is pain a symptom?,Is adenomyosis a disease?,Is pain a symptom of adenomyosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
pain,endometriosis,symptom-disease,Is pain a symptom?,Is endometriosis a disease?,Is pain a symptom of endometriosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
insomnia,anxiety,symptom-disease,Is insomnia a symptom?,Is anxiety a disease?,Is insomnia a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
bradycardia,resting heart rate,disease-symptom,Is bradycardia a disease?,Is resting heart rate a symptom?,Is resting heart rate a symptom of bradycardia?,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes
appendicitis,pain,disease-symptom,Is appendicitis a disease?,Is pain a symptom?,Is pain a symptom of appendicitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
appendicitis,tender,disease-symptom,Is appendicitis a disease?,Is tender a symptom?,Is tender a symptom of appendicitis?,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
panic,GAD,symptom-disease,Is panic a symptom?,Is GAD a disease?,Is panic a symptom of GAD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
GERD,inflammation,disease-symptom,Is GERD a disease?,Is inflammation a symptom?,Is inflammation a symptom of GERD?,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,yes,yes,yes,yes,no,no,yes,yes,yes
GERD,swallowing,disease-symptom,Is GERD a disease?,Is swallowing a symptom?,Is swallowing a symptom of GERD?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes
pantoprazole,reflux,drug-disease,Is pantoprazole a drug?,Is reflux a disease?,Is pantoprazole used to treat reflux?,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
steroid creams,fungal infections,drug-disease,Is steroid creams a drug?,Is fungal infections a disease?,Is steroid creams used to treat fungal infections?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no
fungal infections,rashes,disease-symptom,Is fungal infections a disease?,Is rashes a symptom?,Is rashes a symptom of fungal infections?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
itch,fungal infections,symptom-disease,Is itch a symptom?,Is fungal infections a disease?,Is itch a symptom of fungal infections?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
kyleena,pain,drug-disease,Is kyleena a drug?,Is pain a disease?,Is kyleena used to treat pain?,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,,no,yes,yes,no,no,no,no,yes,no,no
HSV 2,outbreak,disease-symptom,Is HSV 2 a disease?,Is outbreak a symptom?,Is outbreak a symptom of HSV 2?,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,,no,no,yes,no,yes,yes,no,yes,yes,no,no
allergies,Nose gets clogged,disease-symptom,Is allergies a disease?,Is Nose gets clogged a symptom?,Is Nose gets clogged a symptom of allergies?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
allergies,sneezing,disease-symptom,Is allergies a disease?,Is sneezing a symptom?,Is sneezing a symptom of allergies?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Afrin,allergies,drug-disease,Is Afrin a drug?,Is allergies a disease?,Is Afrin used to treat allergies?,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes
rosacea,redness,disease-symptom,Is rosacea a disease?,Is redness a symptom?,Is redness a symptom of rosacea?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
eczema,itch,disease-symptom,Is eczema a disease?,Is itch a symptom?,Is itch a symptom of eczema?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
itch,eczema,symptom-disease,Is itch a symptom?,Is eczema a disease?,Is itch a symptom of eczema?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
neosporin,pimple,drug-disease,Is neosporin a drug?,Is pimple a disease?,Is neosporin used to treat pimple?,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no
antibiotic,UTI,drug-disease,Is antibiotic a drug?,Is UTI a disease?,Is antibiotic used to treat UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
trimalleolar fracture,pain,disease-symptom,Is trimalleolar fracture a disease?,Is pain a symptom?,Is pain a symptom of trimalleolar fracture?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
Prazosin(Minipress,PTSD,drug-disease,Is Prazosin(Minipress a drug?,Is PTSD a disease?,Is Prazosin(Minipress used to treat PTSD?,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sertraline,PTSD,drug-disease,Is Sertraline a drug?,Is PTSD a disease?,Is Sertraline used to treat PTSD?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
asthma,wheezing,disease-symptom,Is asthma a disease?,Is wheezing a symptom?,Is wheezing a symptom of asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cipro,UTI,drug-disease,Is Cipro a drug?,Is UTI a disease?,Is Cipro used to treat UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
UTI,burning when urinating,disease-symptom,Is UTI a disease?,Is burning when urinating a symptom?,Is burning when urinating a symptom of UTI?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
UTI,increased urgency,disease-symptom,Is UTI a disease?,Is increased urgency a symptom?,Is increased urgency a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
UTI,increased frequency,disease-symptom,Is UTI a disease?,Is increased frequency a symptom?,Is increased frequency a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
rotator cuff tear,shoulder pain,disease-symptom,Is rotator cuff tear a disease?,Is shoulder pain a symptom?,Is shoulder pain a symptom of rotator cuff tear?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
shoulder pain,rotator cuff tear,symptom-disease,Is shoulder pain a symptom?,Is rotator cuff tear a disease?,Is shoulder pain a symptom of rotator cuff tear?,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
Fowler’s Syndrome,urinary retention,disease-symptom,Is Fowler’s Syndrome a disease?,Is urinary retention a symptom?,Is urinary retention a symptom of Fowler’s Syndrome?,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,no,yes,yes,yes,yes,no,no,no,yes,yes
urinary retention,Fowler’s Syndrome,symptom-disease,Is urinary retention a symptom?,Is Fowler’s Syndrome a disease?,Is urinary retention a symptom of Fowler’s Syndrome?,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,no,yes,yes,yes,no,yes,no,yes,no,yes
infection,swollen nodes,disease-symptom,Is infection a disease?,Is swollen nodes a symptom?,Is swollen nodes a symptom of infection?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
Ritalin,ADHD,drug-disease,Is Ritalin a drug?,Is ADHD a disease?,Is Ritalin used to treat ADHD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
chronic constipation,difficulty going to the bathroom,disease-symptom,Is chronic constipation a disease?,Is difficulty going to the bathroom a symptom?,Is difficulty going to the bathroom a symptom of chronic constipation?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
difficulty going to the bathroom,chronic constipation,symptom-disease,Is difficulty going to the bathroom a symptom?,Is chronic constipation a disease?,Is difficulty going to the bathroom a symptom of chronic constipation?,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
fibroids,cramps heavy,disease-symptom,Is fibroids a disease?,Is cramps heavy a symptom?,Is cramps heavy a symptom of fibroids?,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
high blood pressure,headache,disease-symptom,Is high blood pressure a disease?,Is headache a symptom?,Is headache a symptom of high blood pressure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
amoxicillin,strep,drug-disease,Is amoxicillin a drug?,Is strep a disease?,Is amoxicillin used to treat strep?,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
strep,sore throat,disease-symptom,Is strep a disease?,Is sore throat a symptom?,Is sore throat a symptom of strep?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ibuprofen,fever,drug-disease,Is ibuprofen a drug?,Is fever a disease?,Is ibuprofen used to treat fever?,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,,no,yes,yes,no,yes,no,yes,yes,no,yes
tylenol,fever,drug-disease,Is tylenol a drug?,Is fever a disease?,Is tylenol used to treat fever?,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,,,yes,yes,yes,yes,no,yes,yes,no,yes
asthma,cough,disease-symptom,Is asthma a disease?,Is cough a symptom?,Is cough a symptom of asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
cough,asthma,symptom-disease,Is cough a symptom?,Is asthma a disease?,Is cough a symptom of asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
fluticasone,asthma,drug-disease,Is fluticasone a drug?,Is asthma a disease?,Is fluticasone used to treat asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
salbutamol,asthma,drug-disease,Is salbutamol a drug?,Is asthma a disease?,Is salbutamol used to treat asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
asthma,wheeze,disease-symptom,Is asthma a disease?,Is wheeze a symptom?,Is wheeze a symptom of asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
asthma,cough,disease-symptom,Is asthma a disease?,Is cough a symptom?,Is cough a symptom of asthma?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chest virus,cough,disease-symptom,Is chest virus a disease?,Is cough a symptom?,Is cough a symptom of chest virus?,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
chest virus,body aches,disease-symptom,Is chest virus a disease?,Is body aches a symptom?,Is body aches a symptom of chest virus?,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
Metformin,Type 2 Diabetes,drug-disease,Is Metformin a drug?,Is Type 2 Diabetes a disease?,Is Metformin used to treat Type 2 Diabetes?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sumatriptan,Chronic Migraines,drug-disease,Is Sumatriptan a drug?,Is Chronic Migraines a disease?,Is Sumatriptan used to treat Chronic Migraines?,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,,yes,no,yes,yes,no,yes,yes,no,yes,yes,no
