entity1,entity2,relationship_type,question1,question2,question3
norethindrone-ethinyl estradiol-iron MG-MCG tablet,hair loss,drug-disease,Is norethindrone-ethinyl estradiol-iron MG-MCG tablet a drug?,Is hair loss a disease?,Is norethindrone-ethinyl estradiol-iron MG-MCG tablet used to treat hair loss?
weight loss,dry skin,symptom-disease,Is weight loss a symptom?,Is dry skin a disease?,Is weight loss a symptom of dry skin?
Ehlers-Danlos,joint pains,disease-symptom,Is Ehlers-Danlos a disease?,Is joint pains a symptom?,Is joint pains a symptom of Ehlers-Danlos?
Ehlers-Danlos,stiffness,disease-symptom,Is Ehlers-Danlos a disease?,Is stiffness a symptom?,Is stiffness a symptom of Ehlers-Danlos?
ibuprofen,joint pains,drug-disease,Is ibuprofen a drug?,Is joint pains a disease?,Is ibuprofen used to treat joint pains?
diclofenac,joint pains,drug-disease,Is diclofenac a drug?,Is joint pains a disease?,Is diclofenac used to treat joint pains?
topiramate,chronic migraines,drug-disease,Is topiramate a drug?,Is chronic migraines a disease?,Is topiramate used to treat chronic migraines?
PCOS,irregular periods,disease-symptom,Is PCOS a disease?,Is irregular periods a symptom?,Is irregular periods a symptom of PCOS?
PCOS,acne,disease-symptom,Is PCOS a disease?,Is acne a symptom?,Is acne a symptom of PCOS?
cerebrovascular accident,mental status change,disease-symptom,Is cerebrovascular accident a disease?,Is mental status change a symptom?,Is mental status change a symptom of cerebrovascular accident?
tumor,Right upper quadrant pain,disease-symptom,Is tumor a disease?,Is Right upper quadrant pain a symptom?,Is Right upper quadrant pain a symptom of tumor?
Right upper quadrant pain,tumor,symptom-disease,Is Right upper quadrant pain a symptom?,Is tumor a disease?,Is Right upper quadrant pain a symptom of tumor?
Klonopin,CNS depression,drug-disease,Is Klonopin a drug?,Is CNS depression a disease?,Is Klonopin used to treat CNS depression?
alcohol,CNS depression,drug-disease,Is alcohol a drug?,Is CNS depression a disease?,Is alcohol used to treat CNS depression?
CNS depression,respiratory depression,disease-symptom,Is CNS depression a disease?,Is respiratory depression a symptom?,Is respiratory depression a symptom of CNS depression?
CNS depression,sedation,disease-symptom,Is CNS depression a disease?,Is sedation a symptom?,Is sedation a symptom of CNS depression?
Celiacs,diarrhea,disease-symptom,Is Celiacs a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of Celiacs?
IBS,diarrhea,disease-symptom,Is IBS a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of IBS?
pancreatic cancer,steatorrhea,disease-symptom,Is pancreatic cancer a disease?,Is steatorrhea a symptom?,Is steatorrhea a symptom of pancreatic cancer?
Hives,rash,disease-symptom,Is Hives a disease?,Is rash a symptom?,Is rash a symptom of Hives?
hydrocephalus,headaches,disease-symptom,Is hydrocephalus a disease?,Is headaches a symptom?,Is headaches a symptom of hydrocephalus?
hydrocephalus,loses the ability to move the left side of his body,disease-symptom,Is hydrocephalus a disease?,Is loses the ability to move the left side of his body a symptom?,Is loses the ability to move the left side of his body a symptom of hydrocephalus?
infection,blood in ejaculate,disease-symptom,Is infection a disease?,Is blood in ejaculate a symptom?,Is blood in ejaculate a symptom of infection?
plaquenil,undifferentiated connective tissue disease,drug-disease,Is plaquenil a drug?,Is undifferentiated connective tissue disease a disease?,Is plaquenil used to treat undifferentiated connective tissue disease?
Paroxysmal Nocturnal Hemoglobinuria,blood clot,disease-symptom,Is Paroxysmal Nocturnal Hemoglobinuria a disease?,Is blood clot a symptom?,Is blood clot a symptom of Paroxysmal Nocturnal Hemoglobinuria?
bone disease,elevated ALP,disease-symptom,Is bone disease a disease?,Is elevated ALP a symptom?,Is elevated ALP a symptom of bone disease?
bad cold,blocked nose,disease-symptom,Is bad cold a disease?,Is blocked nose a symptom?,Is blocked nose a symptom of bad cold?
tregretol,trigeminus neuralgia,drug-disease,Is tregretol a drug?,Is trigeminus neuralgia a disease?,Is tregretol used to treat trigeminus neuralgia?
trigeminus neuralgia,pain,disease-symptom,Is trigeminus neuralgia a disease?,Is pain a symptom?,Is pain a symptom of trigeminus neuralgia?
headache,trigeminus neuralgia,symptom-disease,Is headache a symptom?,Is trigeminus neuralgia a disease?,Is headache a symptom of trigeminus neuralgia?
celexa,anxiety,drug-disease,Is celexa a drug?,Is anxiety a disease?,Is celexa used to treat anxiety?
Adderall,ADHD,drug-disease,Is Adderall a drug?,Is ADHD a disease?,Is Adderall used to treat ADHD?
kidney stones,potassium citrate,drug-disease,Is kidney stones a drug?,Is potassium citrate a disease?,Is kidney stones used to treat potassium citrate?
Penicillin,strep throat,drug-disease,Is Penicillin a drug?,Is strep throat a disease?,Is Penicillin used to treat strep throat?
Clarithromycin,strep throat,drug-disease,Is Clarithromycin a drug?,Is strep throat a disease?,Is Clarithromycin used to treat strep throat?
strep throat,sore throat,disease-symptom,Is strep throat a disease?,Is sore throat a symptom?,Is sore throat a symptom of strep throat?
strep throat,fevers,disease-symptom,Is strep throat a disease?,Is fevers a symptom?,Is fevers a symptom of strep throat?
sore throat,strep throat,symptom-disease,Is sore throat a symptom?,Is strep throat a disease?,Is sore throat a symptom of strep throat?
fevers,strep throat,symptom-disease,Is fevers a symptom?,Is strep throat a disease?,Is fevers a symptom of strep throat?
Gilbert's,indirect bilirubin,disease-symptom,Is Gilbert's a disease?,Is indirect bilirubin a symptom?,Is indirect bilirubin a symptom of Gilbert's?
stomach ulcer,epigastric pain,disease-symptom,Is stomach ulcer a disease?,Is epigastric pain a symptom?,Is epigastric pain a symptom of stomach ulcer?
sprain,swelling,disease-symptom,Is sprain a disease?,Is swelling a symptom?,Is swelling a symptom of sprain?
swelling,sprain,symptom-disease,Is swelling a symptom?,Is sprain a disease?,Is swelling a symptom of sprain?
Idiopathic Intracranial Hypertension,Optic Nerve Swelling,disease-symptom,Is Idiopathic Intracranial Hypertension a disease?,Is Optic Nerve Swelling a symptom?,Is Optic Nerve Swelling a symptom of Idiopathic Intracranial Hypertension?
Polycystic-Ovarian Disease,High Testosterone Levels,disease-symptom,Is Polycystic-Ovarian Disease a disease?,Is High Testosterone Levels a symptom?,Is High Testosterone Levels a symptom of Polycystic-Ovarian Disease?
Isogalen,pimples,drug-disease,Is Isogalen a drug?,Is pimples a disease?,Is Isogalen used to treat pimples?
gastritis,throwing up red blood,disease-symptom,Is gastritis a disease?,Is throwing up red blood a symptom?,Is throwing up red blood a symptom of gastritis?
gastritis,stomach pain,disease-symptom,Is gastritis a disease?,Is stomach pain a symptom?,Is stomach pain a symptom of gastritis?
throwing up red blood,gastritis,symptom-disease,Is throwing up red blood a symptom?,Is gastritis a disease?,Is throwing up red blood a symptom of gastritis?
stomach pain,gastritis,symptom-disease,Is stomach pain a symptom?,Is gastritis a disease?,Is stomach pain a symptom of gastritis?
Omeprazole,gastritis,drug-disease,Is Omeprazole a drug?,Is gastritis a disease?,Is Omeprazole used to treat gastritis?
Omeprazole,ulcers,drug-disease,Is Omeprazole a drug?,Is ulcers a disease?,Is Omeprazole used to treat ulcers?
Omeprazole,GERD,drug-disease,Is Omeprazole a drug?,Is GERD a disease?,Is Omeprazole used to treat GERD?
Acetaminophen,pain,drug-disease,Is Acetaminophen a drug?,Is pain a disease?,Is Acetaminophen used to treat pain?
neurological disorder,choking,disease-symptom,Is neurological disorder a disease?,Is choking a symptom?,Is choking a symptom of neurological disorder?
heat exhaustion,fainting,disease-symptom,Is heat exhaustion a disease?,Is fainting a symptom?,Is fainting a symptom of heat exhaustion?
Paracetamol,fever,drug-disease,Is Paracetamol a drug?,Is fever a disease?,Is Paracetamol used to treat fever?
amoxicillin,ear infection,drug-disease,Is amoxicillin a drug?,Is ear infection a disease?,Is amoxicillin used to treat ear infection?
fluticasone,sinus inflammation,drug-disease,Is fluticasone a drug?,Is sinus inflammation a disease?,Is fluticasone used to treat sinus inflammation?
UTI,disconfort,disease-symptom,Is UTI a disease?,Is disconfort a symptom?,Is disconfort a symptom of UTI?
Food poisoning,nausea,disease-symptom,Is Food poisoning a disease?,Is nausea a symptom?,Is nausea a symptom of Food poisoning?
salmonella,nausea,disease-symptom,Is salmonella a disease?,Is nausea a symptom?,Is nausea a symptom of salmonella?
ibuprofen,headaches,drug-disease,Is ibuprofen a drug?,Is headaches a disease?,Is ibuprofen used to treat headaches?
Vyvanse,ADHD,drug-disease,Is Vyvanse a drug?,Is ADHD a disease?,Is Vyvanse used to treat ADHD?
hernia,bulge,disease-symptom,Is hernia a disease?,Is bulge a symptom?,Is bulge a symptom of hernia?
hernia,pain,disease-symptom,Is hernia a disease?,Is pain a symptom?,Is pain a symptom of hernia?
pain,hernia,symptom-disease,Is pain a symptom?,Is hernia a disease?,Is pain a symptom of hernia?
Acetaminophen,cold,drug-disease,Is Acetaminophen a drug?,Is cold a disease?,Is Acetaminophen used to treat cold?
ibuprofen,cold,drug-disease,Is ibuprofen a drug?,Is cold a disease?,Is ibuprofen used to treat cold?
Spinal Tb,back pain,disease-symptom,Is Spinal Tb a disease?,Is back pain a symptom?,Is back pain a symptom of Spinal Tb?
intracranial hypertension,headache,disease-symptom,Is intracranial hypertension a disease?,Is headache a symptom?,Is headache a symptom of intracranial hypertension?
intracranial hypertension,visual disturbance,disease-symptom,Is intracranial hypertension a disease?,Is visual disturbance a symptom?,Is visual disturbance a symptom of intracranial hypertension?
headache,intracranial hypertension,symptom-disease,Is headache a symptom?,Is intracranial hypertension a disease?,Is headache a symptom of intracranial hypertension?
visual disturbance,intracranial hypertension,symptom-disease,Is visual disturbance a symptom?,Is intracranial hypertension a disease?,Is visual disturbance a symptom of intracranial hypertension?
Losartan,hypertension,drug-disease,Is Losartan a drug?,Is hypertension a disease?,Is Losartan used to treat hypertension?
amoxicillin,ear infection,drug-disease,Is amoxicillin a drug?,Is ear infection a disease?,Is amoxicillin used to treat ear infection?
Bactrim,UTI,drug-disease,Is Bactrim a drug?,Is UTI a disease?,Is Bactrim used to treat UTI?
Ceftriaxone,UTI,drug-disease,Is Ceftriaxone a drug?,Is UTI a disease?,Is Ceftriaxone used to treat UTI?
kidney infection,abdominal pain,disease-symptom,Is kidney infection a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of kidney infection?
UTI,abdominal pain,disease-symptom,Is UTI a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of UTI?
UTI,painful,disease-symptom,Is UTI a disease?,Is painful a symptom?,Is painful a symptom of UTI?
anxiety,erection,disease-symptom,Is anxiety a disease?,Is erection a symptom?,Is erection a symptom of anxiety?
erection,anxiety,symptom-disease,Is erection a symptom?,Is anxiety a disease?,Is erection a symptom of anxiety?
epilepsy,seizures,disease-symptom,Is epilepsy a disease?,Is seizures a symptom?,Is seizures a symptom of epilepsy?
Public lice,itching,disease-symptom,Is Public lice a disease?,Is itching a symptom?,Is itching a symptom of Public lice?
endometriosis,pain,disease-symptom,Is endometriosis a disease?,Is pain a symptom?,Is pain a symptom of endometriosis?
endometriosis,cramping,disease-symptom,Is endometriosis a disease?,Is cramping a symptom?,Is cramping a symptom of endometriosis?
pain,endometriosis,symptom-disease,Is pain a symptom?,Is endometriosis a disease?,Is pain a symptom of endometriosis?
cramping,endometriosis,symptom-disease,Is cramping a symptom?,Is endometriosis a disease?,Is cramping a symptom of endometriosis?
antibiotics,bronchitis,drug-disease,Is antibiotics a drug?,Is bronchitis a disease?,Is antibiotics used to treat bronchitis?
bronchitis,cough,disease-symptom,Is bronchitis a disease?,Is cough a symptom?,Is cough a symptom of bronchitis?
bronchitis,wheezing,disease-symptom,Is bronchitis a disease?,Is wheezing a symptom?,Is wheezing a symptom of bronchitis?
cough,bronchitis,symptom-disease,Is cough a symptom?,Is bronchitis a disease?,Is cough a symptom of bronchitis?
wheezing,bronchitis,symptom-disease,Is wheezing a symptom?,Is bronchitis a disease?,Is wheezing a symptom of bronchitis?
sore throat,flu,symptom-disease,Is sore throat a symptom?,Is flu a disease?,Is sore throat a symptom of flu?
Subluxed shoulder,sore,disease-symptom,Is Subluxed shoulder a disease?,Is sore a symptom?,Is sore a symptom of Subluxed shoulder?
Vertigo,spinning,disease-symptom,Is Vertigo a disease?,Is spinning a symptom?,Is spinning a symptom of Vertigo?
Epigastric pain,indigestion,symptom-disease,Is Epigastric pain a symptom?,Is indigestion a disease?,Is Epigastric pain a symptom of indigestion?
indigestion,Epigastric pain,disease-symptom,Is indigestion a disease?,Is Epigastric pain a symptom?,Is Epigastric pain a symptom of indigestion?
chills,disease,symptom-disease,Is chills a symptom?,Is disease a disease?,Is chills a symptom of disease?
food poisoning,vomiting,disease-symptom,Is food poisoning a disease?,Is vomiting a symptom?,Is vomiting a symptom of food poisoning?
food poisoning,diarrhea,disease-symptom,Is food poisoning a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of food poisoning?
food poisoning,stomach pain,disease-symptom,Is food poisoning a disease?,Is stomach pain a symptom?,Is stomach pain a symptom of food poisoning?
vomiting,food poisoning,symptom-disease,Is vomiting a symptom?,Is food poisoning a disease?,Is vomiting a symptom of food poisoning?
diarrhea,food poisoning,symptom-disease,Is diarrhea a symptom?,Is food poisoning a disease?,Is diarrhea a symptom of food poisoning?
stomach pain,food poisoning,symptom-disease,Is stomach pain a symptom?,Is food poisoning a disease?,Is stomach pain a symptom of food poisoning?
hypothyroidism,armour thyroid,drug-disease,Is hypothyroidism a drug?,Is armour thyroid a disease?,Is hypothyroidism used to treat armour thyroid?
pancreatic cancer,back pain,disease-symptom,Is pancreatic cancer a disease?,Is back pain a symptom?,Is back pain a symptom of pancreatic cancer?
pancreatic cyst,pain,disease-symptom,Is pancreatic cyst a disease?,Is pain a symptom?,Is pain a symptom of pancreatic cyst?
cellulitis,pain,disease-symptom,Is cellulitis a disease?,Is pain a symptom?,Is pain a symptom of cellulitis?
cellulitis,red spots,disease-symptom,Is cellulitis a disease?,Is red spots a symptom?,Is red spots a symptom of cellulitis?
antibiotics,cellulitis,drug-disease,Is antibiotics a drug?,Is cellulitis a disease?,Is antibiotics used to treat cellulitis?
sore throat,infection,symptom-disease,Is sore throat a symptom?,Is infection a disease?,Is sore throat a symptom of infection?
cough,infection,symptom-disease,Is cough a symptom?,Is infection a disease?,Is cough a symptom of infection?
chills,infection,symptom-disease,Is chills a symptom?,Is infection a disease?,Is chills a symptom of infection?
abrasions,bleeding,disease-symptom,Is abrasions a disease?,Is bleeding a symptom?,Is bleeding a symptom of abrasions?
abrasions,pain,disease-symptom,Is abrasions a disease?,Is pain a symptom?,Is pain a symptom of abrasions?
gastritis,stomach pain,disease-symptom,Is gastritis a disease?,Is stomach pain a symptom?,Is stomach pain a symptom of gastritis?
pain,gallstone,symptom-disease,Is pain a symptom?,Is gallstone a disease?,Is pain a symptom of gallstone?
Tramcinolone,rash,drug-disease,Is Tramcinolone a drug?,Is rash a disease?,Is Tramcinolone used to treat rash?
anxiety,chest pain,disease-symptom,Is anxiety a disease?,Is chest pain a symptom?,Is chest pain a symptom of anxiety?
anxiety,heart palpitations,disease-symptom,Is anxiety a disease?,Is heart palpitations a symptom?,Is heart palpitations a symptom of anxiety?
migraines,blurry vision,disease-symptom,Is migraines a disease?,Is blurry vision a symptom?,Is blurry vision a symptom of migraines?
sertaline,anxiety,drug-disease,Is sertaline a drug?,Is anxiety a disease?,Is sertaline used to treat anxiety?
antibiotic,allergic reaction,drug-disease,Is antibiotic a drug?,Is allergic reaction a disease?,Is antibiotic used to treat allergic reaction?
rash,itchy,disease-symptom,Is rash a disease?,Is itchy a symptom?,Is itchy a symptom of rash?
congenital rubella syndrome,hearing loss,disease-symptom,Is congenital rubella syndrome a disease?,Is hearing loss a symptom?,Is hearing loss a symptom of congenital rubella syndrome?
hearing loss,congenital rubella syndrome,symptom-disease,Is hearing loss a symptom?,Is congenital rubella syndrome a disease?,Is hearing loss a symptom of congenital rubella syndrome?
Fever,strep throat,symptom-disease,Is Fever a symptom?,Is strep throat a disease?,Is Fever a symptom of strep throat?
Chills,strep throat,symptom-disease,Is Chills a symptom?,Is strep throat a disease?,Is Chills a symptom of strep throat?
Painful swallowing,strep throat,symptom-disease,Is Painful swallowing a symptom?,Is strep throat a disease?,Is Painful swallowing a symptom of strep throat?
Paracetamol,Fever,drug-disease,Is Paracetamol a drug?,Is Fever a disease?,Is Paracetamol used to treat Fever?
pancreatitis,discomfort,disease-symptom,Is pancreatitis a disease?,Is discomfort a symptom?,Is discomfort a symptom of pancreatitis?
duodenitis,discomfort,disease-symptom,Is duodenitis a disease?,Is discomfort a symptom?,Is discomfort a symptom of duodenitis?
Ativan,panic attacks,drug-disease,Is Ativan a drug?,Is panic attacks a disease?,Is Ativan used to treat panic attacks?
social anxiety,panic attacks,disease-symptom,Is social anxiety a disease?,Is panic attacks a symptom?,Is panic attacks a symptom of social anxiety?
palpitations,heart disease,symptom-disease,Is palpitations a symptom?,Is heart disease a disease?,Is palpitations a symptom of heart disease?
cefdinir,ear infection,drug-disease,Is cefdinir a drug?,Is ear infection a disease?,Is cefdinir used to treat ear infection?
rabies vaccine,rabies,drug-disease,Is rabies vaccine a drug?,Is rabies a disease?,Is rabies vaccine used to treat rabies?
scabies,itching,disease-symptom,Is scabies a disease?,Is itching a symptom?,Is itching a symptom of scabies?
slipped disk,chronic pain,disease-symptom,Is slipped disk a disease?,Is chronic pain a symptom?,Is chronic pain a symptom of slipped disk?
sinus infection,Loss of smell,disease-symptom,Is sinus infection a disease?,Is Loss of smell a symptom?,Is Loss of smell a symptom of sinus infection?
sinus infection,taste,disease-symptom,Is sinus infection a disease?,Is taste a symptom?,Is taste a symptom of sinus infection?
amoxicillin,strep,drug-disease,Is amoxicillin a drug?,Is strep a disease?,Is amoxicillin used to treat strep?
strep,throat symptoms,disease-symptom,Is strep a disease?,Is throat symptoms a symptom?,Is throat symptoms a symptom of strep?
strep,fatigue,disease-symptom,Is strep a disease?,Is fatigue a symptom?,Is fatigue a symptom of strep?
chronic tonsillitis,pain,disease-symptom,Is chronic tonsillitis a disease?,Is pain a symptom?,Is pain a symptom of chronic tonsillitis?
abcess,pain,disease-symptom,Is abcess a disease?,Is pain a symptom?,Is pain a symptom of abcess?
fatigue,strep,symptom-disease,Is fatigue a symptom?,Is strep a disease?,Is fatigue a symptom of strep?
viral infection,lymphocytes,disease-symptom,Is viral infection a disease?,Is lymphocytes a symptom?,Is lymphocytes a symptom of viral infection?
pancreatitis,abdominal pain,disease-symptom,Is pancreatitis a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of pancreatitis?
diabetes,frequent urination,disease-symptom,Is diabetes a disease?,Is frequent urination a symptom?,Is frequent urination a symptom of diabetes?
diabetes,excessive thirst,disease-symptom,Is diabetes a disease?,Is excessive thirst a symptom?,Is excessive thirst a symptom of diabetes?
hypothyroidism,fatigue,disease-symptom,Is hypothyroidism a disease?,Is fatigue a symptom?,Is fatigue a symptom of hypothyroidism?
hypothyroidism,dry skin,disease-symptom,Is hypothyroidism a disease?,Is dry skin a symptom?,Is dry skin a symptom of hypothyroidism?
hypothyroidism,thinning hair,disease-symptom,Is hypothyroidism a disease?,Is thinning hair a symptom?,Is thinning hair a symptom of hypothyroidism?
hypothyroidism,weight gain,disease-symptom,Is hypothyroidism a disease?,Is weight gain a symptom?,Is weight gain a symptom of hypothyroidism?
AMVASC,hypertensive,drug-disease,Is AMVASC a drug?,Is hypertensive a disease?,Is AMVASC used to treat hypertensive?
hypertensive,headaches,disease-symptom,Is hypertensive a disease?,Is headaches a symptom?,Is headaches a symptom of hypertensive?
hypertensive,palpitations,disease-symptom,Is hypertensive a disease?,Is palpitations a symptom?,Is palpitations a symptom of hypertensive?
hypertensive,vomiting,disease-symptom,Is hypertensive a disease?,Is vomiting a symptom?,Is vomiting a symptom of hypertensive?
palpitations,hypertensive,symptom-disease,Is palpitations a symptom?,Is hypertensive a disease?,Is palpitations a symptom of hypertensive?
headaches,hypertensive,symptom-disease,Is headaches a symptom?,Is hypertensive a disease?,Is headaches a symptom of hypertensive?
vomiting,hypertensive,symptom-disease,Is vomiting a symptom?,Is hypertensive a disease?,Is vomiting a symptom of hypertensive?
insulin,diabetic,drug-disease,Is insulin a drug?,Is diabetic a disease?,Is insulin used to treat diabetic?
Plavix,peripheral artery disease,drug-disease,Is Plavix a drug?,Is peripheral artery disease a disease?,Is Plavix used to treat peripheral artery disease?
atenolol,high blood pressure,drug-disease,Is atenolol a drug?,Is high blood pressure a disease?,Is atenolol used to treat high blood pressure?
peripheral artery disease,leg pain,disease-symptom,Is peripheral artery disease a disease?,Is leg pain a symptom?,Is leg pain a symptom of peripheral artery disease?
insulin,type 1 diabetes,drug-disease,Is insulin a drug?,Is type 1 diabetes a disease?,Is insulin used to treat type 1 diabetes?
rash,contact dermatitis,symptom-disease,Is rash a symptom?,Is contact dermatitis a disease?,Is rash a symptom of contact dermatitis?
advair,asthma,drug-disease,Is advair a drug?,Is asthma a disease?,Is advair used to treat asthma?
stomach cancer,heartburn,disease-symptom,Is stomach cancer a disease?,Is heartburn a symptom?,Is heartburn a symptom of stomach cancer?
heartburn,stomach cancer,symptom-disease,Is heartburn a symptom?,Is stomach cancer a disease?,Is heartburn a symptom of stomach cancer?
antacids,heartburn,drug-disease,Is antacids a drug?,Is heartburn a disease?,Is antacids used to treat heartburn?
adenomyosis,pain,disease-symptom,Is adenomyosis a disease?,Is pain a symptom?,Is pain a symptom of adenomyosis?
endometriosis,pain,disease-symptom,Is endometriosis a disease?,Is pain a symptom?,Is pain a symptom of endometriosis?
anxiety,insomnia,disease-symptom,Is anxiety a disease?,Is insomnia a symptom?,Is insomnia a symptom of anxiety?
pain,adenomyosis,symptom-disease,Is pain a symptom?,Is adenomyosis a disease?,Is pain a symptom of adenomyosis?
pain,endometriosis,symptom-disease,Is pain a symptom?,Is endometriosis a disease?,Is pain a symptom of endometriosis?
insomnia,anxiety,symptom-disease,Is insomnia a symptom?,Is anxiety a disease?,Is insomnia a symptom of anxiety?
bradycardia,resting heart rate,disease-symptom,Is bradycardia a disease?,Is resting heart rate a symptom?,Is resting heart rate a symptom of bradycardia?
appendicitis,pain,disease-symptom,Is appendicitis a disease?,Is pain a symptom?,Is pain a symptom of appendicitis?
appendicitis,tender,disease-symptom,Is appendicitis a disease?,Is tender a symptom?,Is tender a symptom of appendicitis?
panic,GAD,symptom-disease,Is panic a symptom?,Is GAD a disease?,Is panic a symptom of GAD?
GERD,inflammation,disease-symptom,Is GERD a disease?,Is inflammation a symptom?,Is inflammation a symptom of GERD?
GERD,swallowing,disease-symptom,Is GERD a disease?,Is swallowing a symptom?,Is swallowing a symptom of GERD?
pantoprazole,reflux,drug-disease,Is pantoprazole a drug?,Is reflux a disease?,Is pantoprazole used to treat reflux?
steroid creams,fungal infections,drug-disease,Is steroid creams a drug?,Is fungal infections a disease?,Is steroid creams used to treat fungal infections?
fungal infections,rashes,disease-symptom,Is fungal infections a disease?,Is rashes a symptom?,Is rashes a symptom of fungal infections?
itch,fungal infections,symptom-disease,Is itch a symptom?,Is fungal infections a disease?,Is itch a symptom of fungal infections?
kyleena,pain,drug-disease,Is kyleena a drug?,Is pain a disease?,Is kyleena used to treat pain?
HSV 2,outbreak,disease-symptom,Is HSV 2 a disease?,Is outbreak a symptom?,Is outbreak a symptom of HSV 2?
allergies,Nose gets clogged,disease-symptom,Is allergies a disease?,Is Nose gets clogged a symptom?,Is Nose gets clogged a symptom of allergies?
allergies,sneezing,disease-symptom,Is allergies a disease?,Is sneezing a symptom?,Is sneezing a symptom of allergies?
Afrin,allergies,drug-disease,Is Afrin a drug?,Is allergies a disease?,Is Afrin used to treat allergies?
rosacea,redness,disease-symptom,Is rosacea a disease?,Is redness a symptom?,Is redness a symptom of rosacea?
eczema,itch,disease-symptom,Is eczema a disease?,Is itch a symptom?,Is itch a symptom of eczema?
itch,eczema,symptom-disease,Is itch a symptom?,Is eczema a disease?,Is itch a symptom of eczema?
neosporin,pimple,drug-disease,Is neosporin a drug?,Is pimple a disease?,Is neosporin used to treat pimple?
antibiotic,UTI,drug-disease,Is antibiotic a drug?,Is UTI a disease?,Is antibiotic used to treat UTI?
trimalleolar fracture,pain,disease-symptom,Is trimalleolar fracture a disease?,Is pain a symptom?,Is pain a symptom of trimalleolar fracture?
Prazosin(Minipress,PTSD,drug-disease,Is Prazosin(Minipress a drug?,Is PTSD a disease?,Is Prazosin(Minipress used to treat PTSD?
Sertraline,PTSD,drug-disease,Is Sertraline a drug?,Is PTSD a disease?,Is Sertraline used to treat PTSD?
asthma,wheezing,disease-symptom,Is asthma a disease?,Is wheezing a symptom?,Is wheezing a symptom of asthma?
Cipro,UTI,drug-disease,Is Cipro a drug?,Is UTI a disease?,Is Cipro used to treat UTI?
UTI,burning when urinating,disease-symptom,Is UTI a disease?,Is burning when urinating a symptom?,Is burning when urinating a symptom of UTI?
UTI,increased urgency,disease-symptom,Is UTI a disease?,Is increased urgency a symptom?,Is increased urgency a symptom of UTI?
UTI,increased frequency,disease-symptom,Is UTI a disease?,Is increased frequency a symptom?,Is increased frequency a symptom of UTI?
rotator cuff tear,shoulder pain,disease-symptom,Is rotator cuff tear a disease?,Is shoulder pain a symptom?,Is shoulder pain a symptom of rotator cuff tear?
shoulder pain,rotator cuff tear,symptom-disease,Is shoulder pain a symptom?,Is rotator cuff tear a disease?,Is shoulder pain a symptom of rotator cuff tear?
Fowler’s Syndrome,urinary retention,disease-symptom,Is Fowler’s Syndrome a disease?,Is urinary retention a symptom?,Is urinary retention a symptom of Fowler’s Syndrome?
urinary retention,Fowler’s Syndrome,symptom-disease,Is urinary retention a symptom?,Is Fowler’s Syndrome a disease?,Is urinary retention a symptom of Fowler’s Syndrome?
infection,swollen nodes,disease-symptom,Is infection a disease?,Is swollen nodes a symptom?,Is swollen nodes a symptom of infection?
Ritalin,ADHD,drug-disease,Is Ritalin a drug?,Is ADHD a disease?,Is Ritalin used to treat ADHD?
chronic constipation,difficulty going to the bathroom,disease-symptom,Is chronic constipation a disease?,Is difficulty going to the bathroom a symptom?,Is difficulty going to the bathroom a symptom of chronic constipation?
difficulty going to the bathroom,chronic constipation,symptom-disease,Is difficulty going to the bathroom a symptom?,Is chronic constipation a disease?,Is difficulty going to the bathroom a symptom of chronic constipation?
fibroids,cramps heavy,disease-symptom,Is fibroids a disease?,Is cramps heavy a symptom?,Is cramps heavy a symptom of fibroids?
high blood pressure,headache,disease-symptom,Is high blood pressure a disease?,Is headache a symptom?,Is headache a symptom of high blood pressure?
amoxicillin,strep,drug-disease,Is amoxicillin a drug?,Is strep a disease?,Is amoxicillin used to treat strep?
strep,sore throat,disease-symptom,Is strep a disease?,Is sore throat a symptom?,Is sore throat a symptom of strep?
ibuprofen,fever,drug-disease,Is ibuprofen a drug?,Is fever a disease?,Is ibuprofen used to treat fever?
tylenol,fever,drug-disease,Is tylenol a drug?,Is fever a disease?,Is tylenol used to treat fever?
asthma,cough,disease-symptom,Is asthma a disease?,Is cough a symptom?,Is cough a symptom of asthma?
cough,asthma,symptom-disease,Is cough a symptom?,Is asthma a disease?,Is cough a symptom of asthma?
fluticasone,asthma,drug-disease,Is fluticasone a drug?,Is asthma a disease?,Is fluticasone used to treat asthma?
salbutamol,asthma,drug-disease,Is salbutamol a drug?,Is asthma a disease?,Is salbutamol used to treat asthma?
asthma,wheeze,disease-symptom,Is asthma a disease?,Is wheeze a symptom?,Is wheeze a symptom of asthma?
asthma,cough,disease-symptom,Is asthma a disease?,Is cough a symptom?,Is cough a symptom of asthma?
chest virus,cough,disease-symptom,Is chest virus a disease?,Is cough a symptom?,Is cough a symptom of chest virus?
chest virus,body aches,disease-symptom,Is chest virus a disease?,Is body aches a symptom?,Is body aches a symptom of chest virus?
Metformin,Type 2 Diabetes,drug-disease,Is Metformin a drug?,Is Type 2 Diabetes a disease?,Is Metformin used to treat Type 2 Diabetes?
